"x","y","first_image","second_image","rad"
690,639,"Scene19_CON.png","Scene19_SEM.png",43.5
384,537,"Scene20_CON.png","Scene20_SEM.png",43.5
435,537,"Scene20_CON.png","Scene20_SEM.png",43.5
333,537,"Scene20_CON.png","Scene20_SEM.png",43.5
792,588,"Scene21_CON.png","Scene21_SEM.png",43.5
843,588,"Scene21_CON.png","Scene21_SEM.png",43.5
792,537,"Scene21_CON.png","Scene21_SEM.png",43.5
843,537,"Scene21_CON.png","Scene21_SEM.png",43.5
588,486,"Scene22_CON.png","Scene22_SEM.png",43.5
639,486,"Scene22_CON.png","Scene22_SEM.png",43.5
588,435,"Scene22_CON.png","Scene22_SEM.png",43.5
639,435,"Scene22_CON.png","Scene22_SEM.png",43.5
639,384,"Scene22_CON.png","Scene22_SEM.png",43.5
180,690,"Scene23_CON.png","Scene23_SEM.png",43.5
231,690,"Scene23_CON.png","Scene23_SEM.png",43.5
282,690,"Scene23_CON.png","Scene23_SEM.png",43.5
333,690,"Scene23_CON.png","Scene23_SEM.png",43.5
384,639,"Scene23_CON.png","Scene23_SEM.png",43.5
384,588,"Scene23_CON.png","Scene23_SEM.png",43.5
333,588,"Scene23_CON.png","Scene23_SEM.png",43.5
282,588,"Scene23_CON.png","Scene23_SEM.png",43.5
231,639,"Scene23_CON.png","Scene23_SEM.png",43.5
180,639,"Scene23_CON.png","Scene23_SEM.png",43.5
282,639,"Scene23_CON.png","Scene23_SEM.png",43.5
333,639,"Scene23_CON.png","Scene23_SEM.png",43.5
231,588,"Scene23_CON.png","Scene23_SEM.png",43.5
282,537,"Scene24_CON.png","Scene24_SEM.png",43.5
333,537,"Scene24_CON.png","Scene24_SEM.png",43.5
384,537,"Scene24_CON.png","Scene24_SEM.png",43.5
435,537,"Scene24_CON.png","Scene24_SEM.png",43.5
486,537,"Scene24_CON.png","Scene24_SEM.png",43.5
486,588,"Scene24_CON.png","Scene24_SEM.png",43.5
486,639,"Scene24_CON.png","Scene24_SEM.png",43.5
486,690,"Scene24_CON.png","Scene24_SEM.png",43.5
435,690,"Scene24_CON.png","Scene24_SEM.png",43.5
384,690,"Scene24_CON.png","Scene24_SEM.png",43.5
333,690,"Scene24_CON.png","Scene24_SEM.png",43.5
282,690,"Scene24_CON.png","Scene24_SEM.png",43.5
282,639,"Scene24_CON.png","Scene24_SEM.png",43.5
282,588,"Scene24_CON.png","Scene24_SEM.png",43.5
333,588,"Scene24_CON.png","Scene24_SEM.png",43.5
384,588,"Scene24_CON.png","Scene24_SEM.png",43.5
435,588,"Scene24_CON.png","Scene24_SEM.png",43.5
435,639,"Scene24_CON.png","Scene24_SEM.png",43.5
384,639,"Scene24_CON.png","Scene24_SEM.png",43.5
333,639,"Scene24_CON.png","Scene24_SEM.png",43.5
843,282,"Scene25_CON.png","Scene25_SEM.png",43.5
894,333,"Scene25_CON.png","Scene25_SEM.png",43.5
945,333,"Scene25_CON.png","Scene25_SEM.png",43.5
945,282,"Scene25_CON.png","Scene25_SEM.png",43.5
894,282,"Scene25_CON.png","Scene25_SEM.png",43.5
894,231,"Scene25_CON.png","Scene25_SEM.png",43.5
843,282,"Scene26_CON.png","Scene26_SEM.png",43.5
894,231,"Scene26_CON.png","Scene26_SEM.png",43.5
945,282,"Scene26_CON.png","Scene26_SEM.png",43.5
894,282,"Scene26_CON.png","Scene26_SEM.png",43.5
537,537,"Scene27_CON.png","Scene27_SEM.png",43.5
486,537,"Scene27_CON.png","Scene27_SEM.png",43.5
435,486,"Scene27_CON.png","Scene27_SEM.png",43.5
486,486,"Scene27_CON.png","Scene27_SEM.png",43.5
180,435,"Scene28_CON.png","Scene28_SEM.png",43.5
231,384,"Scene28_CON.png","Scene28_SEM.png",43.5
180,384,"Scene28_CON.png","Scene28_SEM.png",43.5
231,435,"Scene28_CON.png","Scene28_SEM.png",43.5
282,435,"Scene28_CON.png","Scene28_SEM.png",43.5
282,384,"Scene28_CON.png","Scene28_SEM.png",43.5
333,384,"Scene28_CON.png","Scene28_SEM.png",43.5
333,435,"Scene28_CON.png","Scene28_SEM.png",43.5
384,435,"Scene28_CON.png","Scene28_SEM.png",43.5
435,435,"Scene28_CON.png","Scene28_SEM.png",43.5
486,435,"Scene28_CON.png","Scene28_SEM.png",43.5
537,435,"Scene28_CON.png","Scene28_SEM.png",43.5
384,384,"Scene28_CON.png","Scene28_SEM.png",43.5
129,741,"Scene29_CON.png","Scene29_SEM.png",43.5
129,690,"Scene29_CON.png","Scene29_SEM.png",43.5
129,639,"Scene29_CON.png","Scene29_SEM.png",43.5
129,588,"Scene29_CON.png","Scene29_SEM.png",43.5
180,588,"Scene29_CON.png","Scene29_SEM.png",43.5
231,588,"Scene29_CON.png","Scene29_SEM.png",43.5
282,537,"Scene29_CON.png","Scene29_SEM.png",43.5
282,588,"Scene29_CON.png","Scene29_SEM.png",43.5
231,537,"Scene29_CON.png","Scene29_SEM.png",43.5
180,537,"Scene29_CON.png","Scene29_SEM.png",43.5
180,486,"Scene29_CON.png","Scene29_SEM.png",43.5
231,486,"Scene29_CON.png","Scene29_SEM.png",43.5
231,435,"Scene29_CON.png","Scene29_SEM.png",43.5
180,435,"Scene29_CON.png","Scene29_SEM.png",43.5
180,384,"Scene29_CON.png","Scene29_SEM.png",43.5
231,384,"Scene29_CON.png","Scene29_SEM.png",43.5
282,333,"Scene29_CON.png","Scene29_SEM.png",43.5
282,384,"Scene29_CON.png","Scene29_SEM.png",43.5
282,435,"Scene29_CON.png","Scene29_SEM.png",43.5
333,435,"Scene29_CON.png","Scene29_SEM.png",43.5
333,384,"Scene29_CON.png","Scene29_SEM.png",43.5
