"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
537,435,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
588,384,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
537,537,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
588,486,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
639,537,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
639,588,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
588,537,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
588,588,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
537,639,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
537,588,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
486,588,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
435,588,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
129,486,"Scene13_CON.png","Scene13_SEM.png",43.5,1000,2000,3000,4000,0
129,435,"Scene13_CON.png","Scene13_SEM.png",43.5,1000,2000,3000,4000,0
129,384,"Scene13_CON.png","Scene13_SEM.png",43.5,1000,2000,3000,4000,0
384,435,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
384,384,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
384,333,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
384,282,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
333,282,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
333,333,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
333,384,"Scene14_CON.png","Scene14_SEM.png",43.5,1000,2000,3000,4000,0
690,333,"Scene15_CON.png","Scene15_SEM.png",43.5,1000,2000,3000,4000,0
690,282,"Scene15_CON.png","Scene15_SEM.png",43.5,1000,2000,3000,4000,0
690,231,"Scene15_CON.png","Scene15_SEM.png",43.5,1000,2000,3000,4000,0
435,537,"Scene16_CON.png","Scene16_SEM.png",43.5,1000,2000,3000,4000,0
435,486,"Scene16_CON.png","Scene16_SEM.png",43.5,1000,2000,3000,4000,0
639,435,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
690,435,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
741,435,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
690,486,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
741,486,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
639,486,"Scene17_CON.png","Scene17_SEM.png",43.5,1000,2000,3000,4000,0
231,384,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
282,384,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
333,384,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
384,384,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
435,435,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
384,435,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
333,435,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
282,435,"Scene18_CON.png","Scene18_SEM.png",43.5,1000,2000,3000,4000,0
588,588,"Scene19_CON.png","Scene19_SEM.png",43.5,1000,2000,3000,4000,0
639,588,"Scene19_CON.png","Scene19_SEM.png",43.5,1000,2000,3000,4000,0
690,639,"Scene19_CON.png","Scene19_SEM.png",43.5,1000,2000,3000,4000,0
384,537,"Scene20_CON.png","Scene20_SEM.png",43.5,1000,2000,3000,4000,0
435,537,"Scene20_CON.png","Scene20_SEM.png",43.5,1000,2000,3000,4000,0
333,537,"Scene20_CON.png","Scene20_SEM.png",43.5,1000,2000,3000,4000,0
792,588,"Scene21_CON.png","Scene21_SEM.png",43.5,1000,2000,3000,4000,0
843,588,"Scene21_CON.png","Scene21_SEM.png",43.5,1000,2000,3000,4000,0
792,537,"Scene21_CON.png","Scene21_SEM.png",43.5,1000,2000,3000,4000,0
843,537,"Scene21_CON.png","Scene21_SEM.png",43.5,1000,2000,3000,4000,0
588,486,"Scene22_CON.png","Scene22_SEM.png",43.5,1000,2000,3000,4000,0
639,486,"Scene22_CON.png","Scene22_SEM.png",43.5,1000,2000,3000,4000,0
588,435,"Scene22_CON.png","Scene22_SEM.png",43.5,1000,2000,3000,4000,0
639,435,"Scene22_CON.png","Scene22_SEM.png",43.5,1000,2000,3000,4000,0
639,384,"Scene22_CON.png","Scene22_SEM.png",43.5,1000,2000,3000,4000,0
180,690,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
231,690,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
282,690,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
333,690,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
384,639,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
384,588,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
333,588,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
282,588,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
231,639,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
180,639,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
282,639,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
333,639,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
231,588,"Scene23_CON.png","Scene23_SEM.png",43.5,1000,2000,3000,4000,0
282,537,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
333,537,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
384,537,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
435,537,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
486,537,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
486,588,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
