RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_hospital.png,target_hospital_LowMean.png,74,-0.373,0.325,-0.492,-0.698,1.010,129.500,554.000,10,LowMean
target_kitchen_IDS01.png,target_kitchen_IDS01_HighMean.png,93,0.135,0.165,-0.516,-0.031,0.248,724.500,639.000,4,HighMean
target_kitchen_IDS01.png,target_kitchen_IDS01_LowMean.png,62,-0.113,0.210,-0.403,-0.323,0.248,129.500,469.000,4,LowMean
target_laboratory_IDS01.png,target_laboratory_IDS01_HighMean.png,50,0.466,0.253,0.957,0.213,0.532,129.500,384.000,5,HighMean
target_laboratory_IDS01.png,target_laboratory_IDS01_LowMean.png,31,-0.066,0.172,-0.329,-0.238,0.532,554.500,214.000,5,LowMean
target_laundryroom.png,target_laundryroom_HighMean.png,30,1.199,0.292,0.457,0.908,1.737,469.500,214.000,12,HighMean
target_laundryroom.png,target_laundryroom_LowMean.png,62,-0.538,0.324,-0.359,-0.862,1.737,129.500,469.000,12,LowMean
target_library.png,target_library_HighMean.png,82,0.865,0.228,0.934,0.637,0.638,809.500,554.000,4,HighMean
target_library.png,target_library_LowMean.png,31,0.227,0.127,-0.356,0.099,0.638,554.500,214.000,4,LowMean
target_livingroom_IDS01.png,target_livingroom_IDS01_HighMean.png,40,0.776,0.337,-0.049,0.439,0.671,299.500,299.000,4,HighMean
target_livingroom_IDS01.png,target_livingroom_IDS01_LowMean.png,62,0.105,0.353,0.545,-0.248,0.671,129.500,469.000,4,LowMean
target_marsh.png,target_marsh_HighMean.png,69,0.814,0.246,0.258,0.568,1.514,724.500,469.000,7,HighMean
target_marsh.png,target_marsh_LowMean.png,14,-0.700,0.280,-0.225,-0.979,1.514,129.500,129.000,7,LowMean
target_mediaroom.png,target_mediaroom_HighMean.png,69,0.867,0.368,0.112,0.499,0.768,724.500,469.000,9,HighMean
target_mediaroom.png,target_mediaroom_LowMean.png,26,0.099,0.209,-0.118,-0.110,0.768,129.500,214.000,9,LowMean
target_mountain.png,target_mountain_HighMean.png,30,0.622,0.308,0.276,0.314,0.693,469.500,214.000,6,HighMean
target_mountain.png,target_mountain_LowMean.png,83,-0.070,0.308,-0.131,-0.378,0.693,894.500,554.000,6,LowMean
target_nursery.png,target_nursery_HighMean.png,76,0.667,0.219,-0.035,0.448,1.063,299.500,554.000,7,HighMean
target_nursery.png,target_nursery_LowMean.png,15,-0.396,0.330,0.519,-0.726,1.063,214.500,129.000,7,LowMean
