run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,sona_id,rt,stimulus,response,PosX,PosY,hit,trial_dur,trialStart,changeOnset,key_time,first_image,second_image,image_duration,mask_duration,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
2,1,"""","""","""","""","""",html-keyboard-response,162,428425,0.0-11.0-0.49,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,163,433751,0.0-11.0-1.49,93038,NaN,"""","""",674.3771428571429,490.0571428571429,true,5324.400000095367,429797.09999990463,429798.09999990463,"""",target_classroom.png,target_classroom_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,164,435349,0.0-11.0-2.49,93038,1592.1999998092651,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,165,437351,0.0-11.0-0.50,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,166,440755,0.0-11.0-1.50,93038,NaN,"""","""",479.81714285714287,542.72,true,3401.699999809265,438724.59999990463,438725.69999980927,"""",target_church.png,target_church_HighMean.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,167,442131,0.0-11.0-2.50,93038,1368.7999997138977,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,168,444133,0.0-11.0-0.51,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,169,447519,0.0-11.0-1.51,93038,NaN,"""","""",697.7828571428571,321.8285714285714,true,3384.9000000953674,445505.2999997139,445506.19999980927,"""",target_subway.png,target_subway_HighMean.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,170,448733,0.0-11.0-2.51,93038,1207,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,171,450734,0.0-11.0-0.52,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
