RootScene,MorphScene,Patch,Meaning,Saliency,Attention,Weighted_Meaning,Weighted_Saliency,MeaningSaliencyDiff,Patch_X,Patch_Y,type
target_driveway.png,target_driveway_HighMean.png,28,1.434,1.042,0.228,1.356,1.121,0.392,299.500,214.000,HighMean
target_driveway.png,target_driveway_HighSal.png,46,1.121,1.677,0.334,1.232,1.566,-0.557,809.500,299.000,HighSal
target_field.png,target_field_HighMean.png,57,1.376,1.335,1.239,1.368,1.343,0.041,724.500,384.000,HighMean
target_field.png,target_field_HighSal.png,64,1.337,2.223,0.750,1.515,2.046,-0.886,299.500,469.000,HighSal
target_fireworks.png,target_fireworks_HighMean.png,57,1.606,0.734,0.362,1.431,0.908,0.872,724.500,384.000,HighMean
target_fireworks.png,target_fireworks_HighSal.png,51,0.936,2.212,0.222,1.191,1.957,-1.276,214.500,384.000,HighSal
target_fishingvillage.png,target_fishingvillage_HighMean.png,45,1.287,1.033,1.059,1.236,1.084,0.254,724.500,299.000,HighMean
target_fishingvillage.png,target_fishingvillage_HighSal.png,69,0.866,1.474,0.997,0.988,1.352,-0.608,724.500,469.000,HighSal
target_forrest.png,target_forrest_HighMean.png,45,1.156,0.549,0.266,1.035,0.670,0.607,724.500,299.000,HighMean
target_forrest.png,target_forrest_HighSal.png,75,0.527,2.602,1.653,0.942,2.187,-2.075,214.500,554.000,HighSal
target_garage.png,target_garage_HighMean.png,52,1.284,0.566,1.719,1.141,0.710,0.718,299.500,384.000,HighMean
target_garage.png,target_garage_HighSal.png,75,0.261,1.787,-0.064,0.566,1.482,-1.526,214.500,554.000,HighSal
target_garden.png,target_garden_HighMean.png,45,1.115,0.970,0.040,1.086,0.999,0.146,724.500,299.000,HighMean
target_garden.png,target_garden_HighSal.png,76,0.837,1.711,0.176,1.012,1.536,-0.874,299.500,554.000,HighSal
target_grassland.png,target_grassland_HighMean.png,52,1.273,0.984,0.915,1.215,1.042,0.289,299.500,384.000,HighMean
target_grassland.png,target_grassland_HighSal.png,28,0.658,1.510,0.170,0.829,1.340,-0.852,299.500,214.000,HighSal
target_hairsalon.png,target_hairsalon_HighMean.png,31,1.092,1.149,1.010,1.104,1.138,-0.056,554.500,214.000,HighMean
target_hairsalon.png,target_hairsalon_HighSal.png,58,0.974,1.491,0.565,1.077,1.388,-0.518,809.500,384.000,HighSal
target_hardwarestore.png,target_hardwarestore_HighMean.png,57,1.280,0.813,1.126,1.186,0.906,0.467,724.500,384.000,HighMean
